USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kaustubh           698   0.0  0.1 426972096  21936   ??  S     5:39PM   0:00.45 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
kaustubh           687   0.0  0.0 426932784   7760   ??  S     5:39PM   0:00.04 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
kaustubh           694   0.0  0.1 426976576   9920   ??  S     5:39PM   0:00.20 /System/Library/CoreServices/pbs
kaustubh           693   0.0  0.2 426976992  25920   ??  S     5:39PM   0:00.33 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
kaustubh           689   0.0  0.1 427350736  22288   ??  S     5:39PM   0:00.18 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
kaustubh           690   0.0  0.1 426973936  16944   ??  S     5:39PM   0:00.27 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
kaustubh           695   0.0  0.3 426988816  44944   ??  S     5:39PM   0:01.37 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
kaustubh           692   0.0  0.0 426933648   7488   ??  Ss    5:39PM   0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh           688   0.0  0.4 412159440  72080   ??  S     5:39PM   0:01.92 /Applications/Command X.app/Contents/MacOS/Command X
kaustubh           659   0.0  0.4 427034064  59376   ??  S     5:39PM   1:06.56 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
kaustubh           658   0.0  0.3 426979200  56752   ??  S     5:39PM   0:02.29 /System/Library/PrivateFrameworks/HearingCore.framework/heard
kaustubh           671   0.0  0.6 427396400 102672   ??  S     5:39PM   0:01.78 com.apple.Passwords.MenuBarExtra
kaustubh           670   0.0  0.1 426966560   9168   ??  S     5:39PM   0:00.07 /System/Library/Image Capture/Support/icdd
kaustubh           678   0.0  0.3 426977792  42480   ??  S     5:39PM   0:01.53 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
root               686   0.0  0.2 426986016  26880   ??  Ss    5:39PM   0:01.33 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
kaustubh           685   0.0  0.1 426983008  24736   ??  S     5:39PM   0:03.28 /usr/libexec/nsurlsessiond
kaustubh           677   0.0  0.1 410997792  18240   ??  S     5:39PM   0:00.11 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
kaustubh           669   0.0  0.2 411273088  29152   ??  S     5:39PM   0:05.45 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
kaustubh           666   0.0  0.6 412460512 103984   ??  S     5:39PM   0:08.86 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
kaustubh           680   0.0  0.3 411865392  54656   ??  S     5:39PM   0:00.30 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
kaustubh           667   0.0  0.1 410713792  13024   ??  S     5:39PM   0:00.06 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
root               684   0.0  0.0 426932640   7744   ??  Ss    5:39PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
kaustubh           579   0.0  0.1 426971040  16432   ??  S     5:39PM   0:00.11 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
kaustubh           657   0.0  0.3 426986192  44800   ??  S     5:39PM   0:02.31 /usr/libexec/sharingd
kaustubh           656   0.0  0.1 426968560  20736   ??  S     5:39PM   0:00.18 /usr/libexec/bluetoothuserd
kaustubh           655   0.0  0.1 426976192  16624   ??  Ss    5:39PM   0:00.68 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
kaustubh           653   0.0  0.1 426967696  12592   ??  S     5:39PM   0:00.41 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
kaustubh           654   0.0  0.5 410938336  79872   ??  Ss    5:39PM   0:00.52 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
kaustubh           652   0.0  0.1 426967984  18480   ??  S     5:39PM   0:00.31 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_ctkd              651   0.0  0.0 426933232   6240   ??  Ss    5:39PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
_nearbyd           650   0.0  0.1 426979616  19536   ??  Ss    5:39PM   0:01.34 /usr/libexec/nearbyd
kaustubh           649   0.0  0.2 426979648  31616   ??  S     5:39PM   0:00.96 /usr/sbin/usernoted
kaustubh           648   0.0  0.3 426986160  48192   ??  S     5:39PM   0:10.55 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
kaustubh           646   0.0  0.1 426982672  22160   ??  S     5:39PM   0:00.55 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
kaustubh           645   0.0  0.2 426982992  33856   ??  S     5:39PM   0:01.19 /usr/libexec/transparencyd
kaustubh           647   0.0  0.1 426966816  15216   ??  S     5:39PM   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
kaustubh           644   0.0  0.1 426973856  24256   ??  S     5:39PM   0:00.18 /usr/libexec/findmylocateagent
kaustubh           643   0.0  0.1 426976080  18144   ??  S     5:39PM   0:00.30 /usr/libexec/neagent
kaustubh           642   0.0  0.1 426989984  22240   ??  S     5:39PM   0:00.52 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
kaustubh           638   0.0  0.3 426998608  42800   ??  S     5:39PM   0:00.81 /usr/libexec/replayd
kaustubh           641   0.0  0.2 410966352  41408   ??  Ss    5:39PM   0:00.41 /System/Library/ExtensionKit/Extensions/WallpaperDynamicExtension.appex/Contents/MacOS/WallpaperDynamicExtension
kaustubh           637   0.0  0.1 426966016  12992   ??  S     5:39PM   0:00.16 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
kaustubh           640   0.0  0.1 426966352  14064   ??  S     5:39PM   0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
kaustubh           639   0.0  0.0 426933760   7616   ??  Ss    5:39PM   0:00.01 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh           636   0.0  0.2 426978208  32896   ??  S     5:39PM   0:00.90 /usr/libexec/rapportd
kaustubh           631   0.0  0.1 426971232  18432   ??  S     5:39PM   0:00.11 /usr/libexec/intelligentroutingd
kaustubh           633   0.0  0.2 426970368  33472   ??  S     5:39PM   0:00.44 /System/Library/CoreServices/audioaccessoryd
kaustubh           635   0.0  0.2 426974688  28544   ??  S     5:39PM   0:00.52 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
root               634   0.0  0.0 426929040   4016   ??  Ss    5:39PM   0:00.01 /usr/libexec/wallpaperexportd
root               632   0.0  0.1 426975168  21584   ??  Ss    5:39PM   0:00.59 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
root               630   0.0  0.1 426972704  17616   ??  Ss    5:39PM   0:00.64 /usr/libexec/wifip2pd
kaustubh           629   0.0  0.1 426967392  17552   ??  S     5:39PM   0:00.66 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
kaustubh           627   0.0  0.1 410532848  14144   ??  S     5:39PM   0:01.44 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
kaustubh           628   0.0  0.1 426967872  17280   ??  S     5:39PM   0:02.45 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
kaustubh           626   0.0  0.3 427407376  42544   ??  S     5:39PM   0:01.76 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
kaustubh           625   0.0  0.1 426967232  24336   ??  S     5:39PM   0:00.56 /System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd
kaustubh           624   0.0  0.1 426967136  12816   ??  S     5:39PM   0:00.07 /usr/libexec/icloudmailagent
kaustubh           623   0.0  0.1 426968800  12976   ??  S     5:39PM   0:00.09 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
kaustubh           622   0.0  0.1 427175584  22880   ??  S     5:39PM   0:01.02 /usr/libexec/triald
kaustubh           617   0.0  0.2 426989168  33616   ??  S     5:39PM   0:01.80 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
kaustubh           576   0.0  0.1 426967872  15968   ??  S     5:39PM   0:00.24 /usr/libexec/ContinuityCaptureAgent server
kaustubh           619   0.0  0.1 426978432  10352   ??  S     5:39PM   0:00.07 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
kaustubh           620   0.0  0.5 427017840  89840   ??  S     5:39PM   0:04.70 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
kaustubh           618   0.0  0.1 426976672  22512   ??  S     5:39PM   0:00.87 /usr/libexec/pkd
kaustubh           614   0.0  0.2 427018528  40288   ??  S     5:39PM   0:01.48 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
kaustubh           610   0.0  0.3 427126608  45888   ??  S     5:39PM   0:00.18 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
kaustubh           611   0.0  0.1 426977664  23664   ??  S     5:39PM   0:03.82 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
kaustubh           615   0.0  0.2 426984400  38480   ??  S     5:39PM   0:00.90 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
kaustubh           613   0.0  0.1 426966944  16224   ??  S     5:39PM   0:00.12 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
kaustubh           612   0.0  0.4 427259088  61056   ??  S     5:39PM   0:02.08 /System/Library/CoreServices/iconservicesagent
kaustubh           616   0.0  0.2 426984288  32128   ??  S     5:39PM   0:00.89 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
_appleevents       600   0.0  0.0 426933024   5376   ??  S     5:39PM   0:00.17 /usr/sbin/distnoted agent
kaustubh           609   0.0  0.1 426977360  21424   ??  S     5:39PM   0:00.52 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
kaustubh           607   0.0  0.1 426965696  16336   ??  S     5:39PM   0:00.85 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
kaustubh           605   0.0  0.1 426968800  17792   ??  S     5:39PM   0:00.16 /System/Library/CoreServices/sharedfilelistd
kaustubh           606   0.0  0.0 426933200   5392   ??  S     5:39PM   0:00.77 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
kaustubh           604   0.0  0.2 426993952  39744   ??  S     5:39PM   0:00.56 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
root               603   0.0  0.0 426934304   4000   ??  Ss    5:39PM   0:00.01 automountd
kaustubh           601   0.0  0.2 411553568  33600   ??  S     5:39PM   0:00.37 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
root               602   0.0  0.1 426943664  14608   ??  Ss    5:39PM   0:00.50 /usr/sbin/filecoordinationd
kaustubh           599   0.0  0.2 427509232  40080   ??  S     5:39PM   0:01.31 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
kaustubh           598   0.0  0.1 426974384  24624   ??  S     5:39PM   0:07.24 /usr/libexec/trustd --agent
kaustubh           597   0.0  0.1 426932624  12256   ??  S     5:39PM   0:00.07 /usr/libexec/findmydevice-user-agent
kaustubh           596   0.0  0.1 426967792  15072   ??  S     5:39PM   0:00.59 /usr/libexec/secinitd
kaustubh           595   0.0  0.2 426978352  31680   ??  S     5:39PM   0:04.48 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
kaustubh           593   0.0  0.1 426971984  15552   ??  S     5:39PM   0:00.14 /usr/libexec/dmd
kaustubh           594   0.0  0.1 426902624  18064   ??  Ss    5:39PM   0:00.15 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
kaustubh           592   0.0  0.0 426933088   4400   ??  S     5:39PM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
kaustubh           591   0.0  0.2 426992224  32928   ??  S     5:39PM   0:03.79 /usr/libexec/secd
root               590   0.0  0.1 426967152   9296   ??  Ss    5:39PM   0:00.09 /usr/libexec/mobileactivationd
kaustubh           587   0.0  0.2 426977456  28032   ??  S     5:39PM   0:01.67 /usr/libexec/lsd
root               586   0.0  0.1 426969888  16816   ??  Ss    5:39PM   0:00.17 /usr/libexec/findmydeviced
kaustubh           585   0.0  1.1 412538496 190656   ??  S     5:39PM   0:19.07 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
kaustubh           584   0.0  0.3 411604336  56496   ??  S     5:39PM   0:00.46 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
kaustubh           582   0.0  0.1 426984288  19984   ??  S     5:39PM   0:03.66 /System/Library/CoreServices/talagentd
kaustubh           583   0.0  0.6 412452448 105008   ??  S     5:39PM   0:04.59 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
kaustubh           581   0.0  0.6 412347760  97328   ??  S     5:39PM   0:06.78 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
kaustubh           580   0.0  0.1 426943392  12528   ??  S     5:39PM   0:00.14 /usr/libexec/pboard
kaustubh           575   0.0  0.2 426977760  37504   ??  S     5:39PM   0:01.21 /usr/libexec/knowledge-agent
kaustubh           570   0.0  0.1 426969184  23872   ??  S     5:39PM   0:01.53 /usr/libexec/UserEventAgent (Aqua)
kaustubh           578   0.0  0.1 410861136  18464   ??  S     5:39PM   0:00.42 /usr/sbin/universalaccessd launchd -s
kaustubh           572   0.0  0.2 412068960  37328   ??  S     5:39PM   0:11.48 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
kaustubh           577   0.0  0.4 412272416  64752   ??  S     5:39PM   0:00.74 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
_applepay          573   0.0  0.0 426932880   8384   ??  Ss    5:39PM   0:00.08 /usr/libexec/seld
_gamecontrollerd   571   0.0  0.1 426933264  10992   ??  Ss    5:39PM   0:00.22 /usr/libexec/gamecontrollerd
root               569   0.0  0.0 426933104   5920   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
root               568   0.0  0.0 426932608   4912   ??  Ss    5:39PM   0:00.03 /usr/libexec/applekeystored
kaustubh           567   0.0  0.1 426935840  11072   ??  S     5:39PM   0:11.04 /usr/sbin/cfprefsd agent
kaustubh           566   0.0  0.0 426933024   7648   ??  S     5:39PM   0:02.68 /usr/sbin/distnoted agent
root               565   0.0  0.1 426967520  18432   ??  Ss    5:39PM   0:00.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               563   0.0  0.0 426968304   5936   ??  S     5:39PM   0:00.11 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_accessoryupdater   561   0.0  0.0 426933312   3776   ??  Ss    5:39PM   0:00.05 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
_accessoryupdater   560   0.0  0.0 426933024   2928   ??  S     5:39PM   0:00.16 /usr/sbin/distnoted agent
_accessoryupdater   559   0.0  0.1 426965952   9712   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
_accessoryupdater   556   0.0  0.0 410702240   6416   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDFU.xpc/Contents/MacOS/UARPUpdaterServiceDFU
_accessoryupdater   558   0.0  0.0 426932720   7584   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
_accessoryupdater   557   0.0  0.0 410789712   7024   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
_accessoryupdater   555   0.0  0.1 426973536   9120   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
_accessoryupdater   554   0.0  0.1 410974128   9824   ??  Ss    5:39PM   0:00.03 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
root               553   0.0  0.0 426932736   6192   ??  Ss    5:39PM   0:01.50 /usr/libexec/sysmond
_driverkit         551   0.0  0.0 426851696   1712   ??  Ss    5:39PM   0:00.21 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000d2f com.apple.AppleUserHIDDrivers
_driverkit         550   0.0  0.0 426851488   1456   ??  Ss    5:39PM   0:00.02 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000d25 com.apple.DriverKit-IOUserDockChannelSerial
root               548   0.0  0.2 426993376  29568   ??  Ss    5:39PM   0:01.70 /usr/libexec/searchpartyd
root               547   0.0  0.1 426934208   8560   ??  Ss    5:39PM   0:00.04 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
_spotlight         545   0.0  0.0 426933024   5312   ??  S     5:39PM   0:00.17 /usr/sbin/distnoted agent
_cmiodalassistants   543   0.0  0.0 426965696   6448   ??  S     5:39PM   0:00.05 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_locationd         544   0.0  0.0 426965696   6400   ??  S     5:39PM   0:00.05 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root               541   0.0  0.0 426933184   4496   ??  S     5:39PM   0:00.68 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_cmiodalassistants   540   0.0  0.1 426969248  12880   ??  S     5:39PM   0:00.09 /usr/libexec/trustd --agent
_locationd         539   0.0  0.1 426969248  11728   ??  S     5:39PM   0:00.09 /usr/libexec/trustd --agent
_cmiodalassistants   538   0.0  0.0 426933072   6560   ??  S     5:39PM   0:00.04 /usr/sbin/cfprefsd agent
root               537   0.0  0.1 426971792  14944   ??  Ss    5:39PM   0:00.43 /usr/libexec/rtcreportingd
_locationd         536   0.0  0.0 426933072   5856   ??  S     5:39PM   0:00.04 /usr/sbin/cfprefsd agent
_nsurlsessiond     534   0.0  0.0 426933024   4320   ??  S     5:39PM   0:00.16 /usr/sbin/distnoted agent
_cmiodalassistants   535   0.0  0.1 426967792   9952   ??  S     5:39PM   0:00.04 /usr/libexec/secinitd
root               533   0.0  0.0 426967968   4448   ??  Ss    5:39PM   0:00.53 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
root               532   0.0  0.0 426970720   6208   ??  Ss    5:39PM   0:00.10 /usr/libexec/symptomsd-diag
_cmiodalassistants   531   0.0  0.1 426970368  18720   ??  S     5:39PM   0:00.24 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_locationd         529   0.0  0.1 426967792  10464   ??  S     5:39PM   0:00.04 /usr/libexec/secinitd
root               530   0.0  0.0 426932544   7088   ??  Ss    5:39PM   0:00.03 /usr/libexec/bootinstalld
_locationd         527   0.0  0.0 426933024   5296   ??  S     5:39PM   0:00.17 /usr/sbin/distnoted agent
_locationd         526   0.0  0.1 426970368  18960   ??  S     5:39PM   0:00.27 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               528   0.0  0.1 410532592  13088   ??  S     5:39PM   0:00.99 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
root               525   0.0  0.0 426929904   6512   ??  Ss    5:39PM   0:00.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_appleevents       524   0.0  0.1 426967296  11488   ??  Ss    5:39PM   0:00.15 /System/Library/CoreServices/appleeventsd --server
_neuralengine      521   0.0  0.1 426967344   9120   ??  Ss    5:39PM   0:00.04 /usr/libexec/aneuserd
root               523   0.0  0.0 410772752   5440   ??  Ss    5:39PM   0:00.02 /usr/libexec/online-auth-agent
root               522   0.0  0.1 426968736  14240   ??  Ss    5:39PM   0:00.96 /usr/libexec/aned
_cmiodalassistants   520   0.0  0.0 426938768   7680   ??  Ss    5:39PM   0:00.05 /usr/sbin/appleh16camerad
root               519   0.0  0.1 426966432  11408   ??  Ss    5:39PM   0:00.24 /usr/libexec/findmybeaconingd
_cmiodalassistants   518   0.0  0.1 426967328   9888   ??  Ss    5:39PM   0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
root               517   0.0  0.1 426967440  10000   ??  Ss    5:39PM   0:00.45 /usr/sbin/WirelessRadioManagerd
root               516   0.0  0.1 426967024   9216   ??  Ss    5:39PM   0:00.26 /usr/libexec/securityd_system
_cmiodalassistants   515   0.0  0.1 426967344  17344   ??  Ss    5:39PM   0:00.44 /usr/libexec/cameracaptured
_softwareupdate    507   0.0  0.0 426933024   4912   ??  S     5:39PM   0:00.17 /usr/sbin/distnoted agent
root               506   0.0  0.7 434177456 125248   ??  Ss    5:39PM   0:21.55 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
_softwareupdate    505   0.0  0.4 431379568  71152   ??  Ss    5:39PM   0:04.22 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root               504   0.0  0.1 426966976  15264   ??  Ss    5:39PM   0:00.37 /System/Library/CoreServices/osanalyticshelper server-init
root               497   0.0  0.0 426968224   8288   ??  Ss    5:39PM   0:00.22 /System/Library/CoreServices/TimeMachine/backupd
root               496   0.0  0.0 426967360   4064   ??  Ss    5:39PM   0:00.46 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root               495   0.0  0.1 426967920  20560   ??  Ss    5:39PM   0:01.02 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
root               399   0.0  0.0 426929024   2912   ??  Ss    5:39PM   0:00.03 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root               494   0.0  0.0 411333552   4896   ??  Ss    5:39PM   0:00.03 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
root               403   0.0  0.0 426932544   2528   ??  Ss    5:39PM   0:00.04 /usr/libexec/usbd
_modelmanagerd     493   0.0  0.2 426994352  27552   ??  Ss    5:39PM   0:00.33 /usr/libexec/modelmanagerd
root               436   0.0  0.1 426978016  18208   ??  Ss    5:39PM   0:00.26 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
_coreaudiod        491   0.0  0.0 426966368   5888   ??  Ss    5:39PM   0:00.01 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
_cmiodalassistants   488   0.0  0.0 426933024   5152   ??  S     5:39PM   0:00.18 /usr/sbin/distnoted agent
root               487   0.0  0.0 426932512   4912   ??  Ss    5:39PM   0:00.03 /usr/libexec/colorsyncd
root               486   0.0  0.0 426928976   3232   ??  Ss    5:39PM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
root               485   0.0  0.0 426932576   4784   ??  Ss    5:39PM   0:00.02 /usr/libexec/colorsync.displayservices
root               484   0.0  0.1 426933056   9664   ??  Ss    5:39PM   0:00.22 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               483   0.0  0.1 426967184   8560   ??  Ss    5:39PM   0:00.18 /usr/sbin/mDNSResponderHelper
root               466   0.0  0.1 410809520   9088   ??  Ss    5:39PM   0:02.79 /usr/libexec/audioclocksyncd
root               465   0.0  0.0 410198432   3520   ??  Ss    5:39PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root               456   0.0  0.3 426976448  57232   ??  Ss    5:39PM   0:01.42 /usr/libexec/syspolicyd
root               447   0.0  0.1 426968352  12176   ??  Ss    5:39PM   0:00.09 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
_coreaudiod        446   0.0  0.0 410321104   5808   ??  Ss    5:39PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
_mdnsresponder     435   0.0  0.1 426981296  21856   ??  Ss    5:39PM   0:03.36 /usr/sbin/mDNSResponder
root               433   0.0  0.1 426976128  11376   ??  Ss    5:39PM   0:00.14 /usr/libexec/ApplicationFirewall/socketfilterfw
root               434   0.0  0.1 426933120   9216   ??  Ss    5:39PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root               393   0.0  0.0 426932928   6240   ??  Ss    5:39PM   0:00.12 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
_networkd          432   0.0  0.1 426981872  20080   ??  Ss    5:39PM   0:02.58 /usr/libexec/symptomsd
_iconservices      339   0.0  0.0 426966848   5728   ??  Ss    5:39PM   0:00.10 /System/Library/CoreServices/iconservicesd
