USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kaustubh          1125   0.0  0.1 410913152  10848   ??  S     5:41PM   0:00.07 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
kaustubh          1113   0.0  0.1 426967904  13840   ??  Ss    5:41PM   0:00.05 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
_rmd              1107   0.0  0.1 410764336  10656   ??  Ss    5:41PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
_rmd              1106   0.0  0.1 410762640   9776   ??  Ss    5:41PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              1105   0.0  0.1 410903552  12480   ??  Ss    5:41PM   0:00.09 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
_rmd              1104   0.0  0.1 410753456  10080   ??  Ss    5:41PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
_rmd              1103   0.0  0.1 410754496   9984   ??  Ss    5:41PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              1102   0.0  0.1 410771872  10096   ??  Ss    5:41PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              1099   0.0  0.1 410763168  12672   ??  Ss    5:41PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
_rmd              1098   0.0  0.1 410762640   9888   ??  Ss    5:41PM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              1097   0.0  0.0 426933024   5504   ??  S     5:41PM   0:00.15 /usr/sbin/distnoted agent
_rmd              1096   0.0  0.1 411034064  10160   ??  Ss    5:41PM   0:00.05 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
kaustubh          1095   0.0  0.0 426929136   3344   ??  S     5:41PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fudHelperAgent
_rmd              1094   0.0  0.1 426968224  14336   ??  Ss    5:41PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
kaustubh          1093   0.0  0.1 426970048  24960   ??  S     5:41PM   0:00.24 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
kaustubh          1092   0.0  0.0 410170784   3328   ??  Ss    5:41PM   0:00.00 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kaustubh          1090   0.0  0.1 431292448  18048   ??  S     5:41PM   0:00.12 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated
kaustubh          1085   0.0  0.1 410670480  10128   ??  Ss    5:41PM   0:00.11 /System/Library/PrivateFrameworks/SiriTTSService.framework/Versions/A/XPCServices/com.apple.SiriTTSService.TrialProxy.xpc/Contents/MacOS/com.apple.SiriTTSService.TrialProxy
kaustubh          1081   0.0  0.1 426971296  14272   ??  S     5:41PM   0:00.16 /usr/libexec/keyboardservicesd
kaustubh          1079   0.0  0.4 427397232  65664   ??  S     5:41PM   0:01.01 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
kaustubh          1080   0.0  0.2 427060848  40528   ??  S     5:41PM   0:02.06 /usr/libexec/naturallanguaged
kaustubh          1078   0.0  0.1 426953712  13712   ??  Ss    5:41PM   0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh          1074   0.0  0.0 410301648   6832   ??  Ss    5:41PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh          1071   0.0  0.1 426987424  14880   ??  S     5:41PM   0:00.10 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
kaustubh          1070   0.0  0.3 426978192  47376   ??  S     5:41PM   0:01.39 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
kaustubh          1069   0.0  0.3 431383392  47280   ??  S     5:41PM   0:00.85 /System/Library/PrivateFrameworks/AppStoreComponents.framework/Support/appstorecomponentsd
kaustubh          1054   0.0  0.1 426968880  22032   ??  S     5:41PM   0:00.19 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
kaustubh          1052   0.0  0.0 410189216   3536   ??  Ss    5:41PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kaustubh          1050   0.0  0.1 426902624  18448   ??  Ss    5:41PM   0:00.14 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
kaustubh          1047   0.0  0.0 426933072   7984   ??  Ss    5:41PM   0:00.01 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
kaustubh          1046   0.0  0.6 411107984  92336   ??  Ss    5:41PM   0:00.59 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
kaustubh          1037   0.0  0.1 426966416  12416   ??  S     5:41PM   0:00.06 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
kaustubh          1038   0.0  0.2 426937200  27792   ??  Ss    5:41PM   0:00.18 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
kaustubh          1036   0.0  0.1 427133168  18448   ??  Ss    5:41PM   0:00.61 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
kaustubh          1035   0.0  0.1 426968688  21168   ??  S     5:41PM   0:00.48 /System/Library/Frameworks/Translation.framework/translationd
